;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201105;Mayo de 2011;15;Navarra, Comunidad Foral de;31;Navarra;29434;23449;5588;397;0
201105;Mayo de 2011;16;País Vasco;1;Araba/Álava;13753;11205;2451;97;0
201105;Mayo de 2011;16;País Vasco;20;Gipuzkoa;30838;25481;5024;333;0
201105;Mayo de 2011;16;País Vasco;48;Bizkaia;49024;40238;8296;490;0
201105;Mayo de 2011;17;Rioja, La;26;Rioja, La;14407;11357;2799;251;0
201105;Mayo de 2011;18;Ceuta;51;Ceuta;3272;1491;1591;190;0
201105;Mayo de 2011;19;Melilla;52;Melilla;2629;1379;943;307;0
201106;Junio de 2011;1;Andalucía;4;Almería;42488;26573;12119;1982;1814
201106;Junio de 2011;1;Andalucía;11;Cádiz;68730;36597;21606;6384;4143
201106;Junio de 2011;1;Andalucía;14;Córdoba;48966;22599;14034;2058;10275
201106;Junio de 2011;1;Andalucía;18;Granada;51465;26649;15667;2339;6810
201106;Junio de 2011;1;Andalucía;21;Huelva;34131;20021;9312;1369;3429
201106;Junio de 2011;1;Andalucía;23;Jaén;40295;19059;11456;1605;8175
201106;Junio de 2011;1;Andalucía;29;Málaga;85802;49970;25841;4974;5017
201106;Junio de 2011;1;Andalucía;41;Sevilla;112885;59987;32749;5673;14476
201106;Junio de 2011;2;Aragón;22;Huesca;8941;7216;1580;145;0
201106;Junio de 2011;2;Aragón;44;Teruel;5562;4153;1315;94;0
201106;Junio de 2011;2;Aragón;50;Zaragoza;43877;34368;8485;1024;0
201106;Junio de 2011;3;Asturias, Principado de;33;Asturias;47640;34400;11942;1298;0
201106;Junio de 2011;4;Balears, Illes;7;Balears, Illes;44749;33153;10583;1013;0
201106;Junio de 2011;5;Canarias;35;Palmas, Las;66770;41373;20581;4816;0
201106;Junio de 2011;5;Canarias;38;Santa Cruz de Tenerife;58696;36575;18861;3260;0
201106;Junio de 2011;6;Cantabria;39;Cantabria;24876;19002;5172;702;0
201106;Junio de 2011;7;Castilla y León;5;Ávila;6731;4554;1897;280;0
201106;Junio de 2011;7;Castilla y León;9;Burgos;16441;12944;3149;348;0
201106;Junio de 2011;7;Castilla y León;24;León;21155;15572;5026;557;0
201106;Junio de 2011;7;Castilla y León;34;Palencia;5943;4372;1364;207;0
201106;Junio de 2011;7;Castilla y León;37;Salamanca;13314;9345;3343;626;0
201106;Junio de 2011;7;Castilla y León;40;Segovia;5376;4229;1054;93;0
201106;Junio de 2011;7;Castilla y León;42;Soria;2985;2274;634;77;0
201106;Junio de 2011;7;Castilla y León;47;Valladolid;21495;16742;4022;731;0
201106;Junio de 2011;7;Castilla y León;49;Zamora;6537;4621;1655;261;0
201106;Junio de 2011;8;Castilla - La Mancha;2;Albacete;19435;12884;5574;977;0
201106;Junio de 2011;8;Castilla - La Mancha;13;Ciudad Real;23658;15469;7216;973;0
201106;Junio de 2011;8;Castilla - La Mancha;16;Cuenca;8144;5445;2417;282;0
201106;Junio de 2011;8;Castilla - La Mancha;19;Guadalajara;12792;9750;2834;208;0
201106;Junio de 2011;8;Castilla - La Mancha;45;Toledo;36139;25437;9673;1029;0
201106;Junio de 2011;9;Cataluña;8;Barcelona;313906;245478;63815;4613;0
201106;Junio de 2011;9;Cataluña;17;Girona;35584;26588;8493;503;0
201106;Junio de 2011;9;Cataluña;25;Lleida;18581;14234;4018;329;0
201106;Junio de 2011;9;Cataluña;43;Tarragona;42574;31723;9876;975;0
201106;Junio de 2011;10;Comunitat Valenciana;3;Alicante/Alacant;90458;57291;27368;5799;0
201106;Junio de 2011;10;Comunitat Valenciana;12;Castellón/Castelló;36983;26521;9805;657;0
201106;Junio de 2011;10;Comunitat Valenciana;46;Valencia/Valéncia;144367;105909;33991;4467;0
201106;Junio de 2011;11;Extremadura;6;Badajoz;38171;17836;13033;2469;4833
201106;Junio de 2011;11;Extremadura;10;Cáceres;21921;11128;6821;811;3161
