Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;;
2020S000112;02/01/2020;20:22;AVDA. RAMON Y CAJAL / CALL. PRINCIPE DE VERGARA;-;CHAMARTÍN;Colisión lateral;Despejado;Motocicleta > 125cc;Conductor;DE 35 A 39 AÑOS;Hombre;14;;
2020S000109;02/01/2020;20:00;AVDA. MONFORTE DE LEMOS / CALL. GINZO DE LIMIA;-;FUENCARRAL-EL PARDO;Colisión lateral;;Camión rígido;Conductor;DE 50 A 54 AÑOS;Hombre;;;
2020S000109;02/01/2020;20:00;AVDA. MONFORTE DE LEMOS / CALL. GINZO DE LIMIA;-;FUENCARRAL-EL PARDO;Colisión lateral;;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;;;
2020S000078;02/01/2020;19:30;AVDA. CARABANCHEL ALTO / AVDA. PESETA;-;CARABANCHEL;Atropello a persona;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;14;;
2020S000078;02/01/2020;19:30;AVDA. CARABANCHEL ALTO / AVDA. PESETA;-;CARABANCHEL;Atropello a persona;Despejado;Turismo;Peatón;DE 0 A 5 AÑOS;Hombre;02;;
2020S000074;02/01/2020;19:09;CALL. LOPEZ DE HOYOS / CALL. BORJAS BLANCAS;-;HORTALEZA;Colisión frontal;Despejado;Motocicleta > 125cc;Conductor;DE 25 A 29 AÑOS;Hombre;04;;
2020S000074;02/01/2020;19:09;CALL. LOPEZ DE HOYOS / CALL. BORJAS BLANCAS;-;HORTALEZA;Colisión frontal;Despejado;Turismo;Conductor;MAYOR DE 74 AÑOS;Hombre;14;;
2020S000074;02/01/2020;19:09;CALL. LOPEZ DE HOYOS / CALL. BORJAS BLANCAS;-;HORTALEZA;Colisión frontal;Despejado;Turismo;Conductor;DESCONOCIDA;;;;
2020S000074;02/01/2020;19:09;CALL. LOPEZ DE HOYOS / CALL. BORJAS BLANCAS;-;HORTALEZA;Colisión frontal;Despejado;Turismo;Conductor;DESCONOCIDA;;;;
2020S000978;02/01/2020;19:07;PASEO. EXTREMADURA;147;LATINA;Atropello a persona;Se desconoce;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;14;;
2020S000978;02/01/2020;19:07;PASEO. EXTREMADURA;147;LATINA;Atropello a persona;Se desconoce;Turismo;Peatón;DE 65 A 69 AÑOS;Mujer;07;;
