substation_name,provincia,municipio,utm_x,utm_y,available_capacity_mw,voltage_kv,distributor_network,latitude,longitude
4656,Araba/Álava,Legutio,529313.920409694,4757938.92017075,0.0,30.0,i-DE,42.973537913953045,-2.640511250080925
3548,Albacete,Albacete,595760.124708494,4319519.01107784,0.0,132.0,i-DE,39.019468179018354,-1.893830787248015
3548,Albacete,Albacete,595760.124708494,4319519.01107784,0.0,66.0,i-DE,39.019468179018354,-1.893830787248015
3548,Albacete,Albacete,595760.124708494,4319519.01107784,0.0,20.0,i-DE,39.019468179018354,-1.893830787248015
3548,Albacete,Albacete,595760.124708494,4319519.01107784,0.0,20.0,i-DE,39.019468179018354,-1.893830787248015
3548,Albacete,Albacete,595760.124708494,4319519.01107784,0.0,20.0,i-DE,39.019468179018354,-1.893830787248015
3576,Albacete,Almansa,665988.082241298,4302113.75373397,0.0,132.0,i-DE,38.85219966469437,-1.0871458303654156
3576,Albacete,Almansa,665988.082241298,4302113.75373397,0.0,66.0,i-DE,38.85219966469437,-1.0871458303654156
3576,Albacete,Almansa,665988.082241298,4302113.75373397,0.0,66.0,i-DE,38.85219966469437,-1.0871458303654156
3576,Albacete,Almansa,665988.082241298,4302113.75373397,0.0,20.0,i-DE,38.85219966469437,-1.0871458303654156
3576,Albacete,Almansa,665988.082241298,4302113.75373397,0.0,20.0,i-DE,38.85219966469437,-1.0871458303654156
3590,Albacete,Barrax,572916.183825886,4321416.9730426,0.0,132.0,i-DE,39.03877313305918,-2.1574778686366645
3590,Albacete,Barrax,572916.183825886,4321416.9730426,0.0,20.0,i-DE,39.03877313305918,-2.1574778686366645
3590,Albacete,Barrax,572916.183825886,4321416.9730426,0.0,20.0,i-DE,39.03877313305918,-2.1574778686366645
4118,Albacete,Casas-Ibáñez,631866.244455442,4348318.27111963,0.0,132.0,i-DE,39.27419038381229,-1.4712686379949518
4118,Albacete,Casas-Ibáñez,631866.244455442,4348318.27111963,0.0,66.0,i-DE,39.27419038381229,-1.4712686379949518
4118,Albacete,Casas-Ibáñez,631866.244455442,4348318.27111963,0.0,20.0,i-DE,39.27419038381229,-1.4712686379949518
4118,Albacete,Casas-Ibáñez,631866.244455442,4348318.27111963,0.0,20.0,i-DE,39.27419038381229,-1.4712686379949518
3591,Albacete,El Bonillo,540975.483606611,4311326.99884626,0.0,132.0,i-DE,38.949933755129315,-2.5271311355014614
3591,Albacete,El Bonillo,540975.483606611,4311326.99884626,0.0,20.0,i-DE,38.949933755129315,-2.5271311355014614
3591,Albacete,El Bonillo,540975.483606611,4311326.99884626,0.0,20.0,i-DE,38.949933755129315,-2.5271311355014614
3580,Albacete,Yeste,567635.864793768,4250383.702395,0.0,132.0,i-DE,38.39911999823876,-2.2254250233938557
3580,Albacete,Yeste,567635.864793768,4250383.702395,0.0,20.0,i-DE,38.39911999823876,-2.2254250233938557
3602,Albacete,Hellín,613189.811243733,4265388.22509194,0.0,132.0,i-DE,38.52970120061642,-1.7014117699140072
3602,Albacete,Hellín,613189.811243733,4265388.22509194,0.0,20.0,i-DE,38.52970120061642,-1.7014117699140072
3602,Albacete,Hellín,613189.811243733,4265388.22509194,0.0,20.0,i-DE,38.52970120061642,-1.7014117699140072
3451,Albacete,La Gineta,585184.058390449,4329933.42986955,0.0,20.0,i-DE,39.114395657878525,-2.014678114531938
3451,Albacete,La Gineta,585184.058390449,4329933.42986955,0.0,20.0,i-DE,39.114395657878525,-2.014678114531938
3451,Albacete,La Gineta,585184.058390449,4329933.42986955,0.0,132.0,i-DE,39.114395657878525,-2.014678114531938
3516,Albacete,La Roda,574251.673704524,4338856.97252243,0.0,132.0,i-DE,39.19579785274034,-2.140140401239573
3516,Albacete,La Roda,574251.673704524,4338856.97252243,0.0,20.0,i-DE,39.19579785274034,-2.140140401239573
3516,Albacete,La Roda,574251.673704524,4338856.97252243,0.0,20.0,i-DE,39.19579785274034,-2.140140401239573
3273,Albacete,Villarrobledo,528190.605219567,4325189.28751307,0.0,132.0,i-DE,39.075353979605715,-2.6740967785050436
3606,Albacete,Mahora,607712.056733101,4341860.55175289,0.0,132.0,i-DE,39.21935327193578,-1.75225153296546
3606,Albacete,Mahora,607712.056733101,4341860.55175289,0.0,20.0,i-DE,39.21935327193578,-1.75225153296546
3606,Albacete,Mahora,607712.056733101,4341860.55175289,0.0,20.0,i-DE,39.21935327193578,-1.75225153296546
3071,Albacete,Lezuza,561595.3888596,4313032.63028226,0.0,132.0,i-DE,38.96409616583647,-2.289032146818482
3383,Albacete,Albacete,596086.807400479,4310370.30262912,0.0,132.0,i-DE,38.93700523833066,-1.8913440102042989
3383,Albacete,Albacete,596086.807400479,4310370.30262912,0.0,20.0,i-DE,38.93700523833066,-1.8913440102042989
3383,Albacete,Albacete,596086.807400479,4310370.30262912,0.0,20.0,i-DE,38.93700523833066,-1.8913440102042989
3610,Albacete,Pozohondo,594944.071542239,4287987.23196653,0.0,132.0,i-DE,38.73545904940201,-1.9076143155155405
3610,Albacete,Pozohondo,594944.071542239,4287987.23196653,0.0,66.0,i-DE,38.73545904940201,-1.9076143155155405
