segment_id,Carretera,road_prefix,PK_inicio,PK_fin,length_km,imd_total,imd_ligeros,imd_pesados,n_stations,is_tent,max_spacing_km,cod_prov
128,A-7,A,336.05,353.47,17.505119140625,74727.0,55309.75,19417.25,4.0,True,60,46
129,A-7,A,353.47,398.23,44.12945703125,60115.818181818184,46679.59090909091,13436.227272727272,22.0,True,60,46
130,A-7,A,398.23,492.0,92.3009921875,19914.925,17598.3,2316.625,40.0,False,120,03
131,A-7,A,505.99,507.54,1.636701171875,43249.91666666667,,,,False,120,03
132,A-7,A,507.54,513.53,5.9212041015625,2451.0,2297.0,154.0,4.0,True,60,03
133,A-7,A,513.53,552.97,39.3958203125,52912.5,43986.625,8925.875,16.0,True,60,03
134,A-7,A,552.97,567.329,14.499140625,48182.0,38806.583333333336,9375.416666666666,12.0,True,60,30
135,A-7,A,570.0,651.64,83.7921640625,38317.833333333336,31053.9375,7263.895833333333,48.0,True,60,30
136,A-7,A,651.64,662.89,10.8941337890625,14360.5,10832.625,3527.875,8.0,True,60,30
137,A-7,A,1122.16,1171.25,53.49297265625,32390.975,28712.05,3678.925,40.0,False,120,43
138,A-70,A,0.0,17.49,17.89973828125,75561.19277108433,70867.8795180723,4693.313253012048,83.0,True,60,03
139,A-70,A,17.49,22.33,4.953470703125,68688.75,62884.25,5804.5,4.0,True,60,03
140,A-70,A,22.33,31.4,9.2824970703125,55379.0,50644.0,4735.0,4.0,True,60,03
141,A-73,A,0.0,10.055,9.9518994140625,5178.0,4295.0,883.0,4.0,True,60,09
142,A-73,A,10.055,10.42,0.3244554748535156,5178.0,,,,False,120,09
143,A-73R,A,0.0,0.455,0.5280252075195313,3124.0,2112.5,1011.5,4.0,False,120,09
144,A-75,A,0.0,12.72,12.754431640625,3455.625,2672.625,783.0,8.0,True,60,32
145,A-75,A,12.72,12.722,0.0017716336250305177,3455.625,,,,True,60,
146,A-77,A,0.0,7.37,7.2349716796875,19208.0,17842.5,1365.5,4.0,False,120,03
147,A-77A,A,0.0,4.07,3.6365458984375,34006.25,32914.5,1091.75,4.0,False,120,03
148,A-79,A,0.0,6.0,6.572265625,9915.0,9226.75,688.25,4.0,False,120,03
149,A-8,A,106.04,115.09,8.8744453125,19712.4375,,,,True,60,48
150,A-8,A,115.09,115.425,0.310095458984375,19712.4375,,,,False,120,48
151,A-8,A,129.5,139.27,9.209908203125,19712.4375,,,,True,60,48
