request_id,request_received_date,request_type,transport_node_name_voltage,transport_position,autonomous_community,requested_access_capacity_mw,publication_month_end_date,contest_node
GENT-49054-26,2026-02-09,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,PEÑADRADA 220,PEN220-GR1,Castilla y León,45,2026-03-16,NO
GENT-48547-26,2026-01-14,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,PEÑADRADA 220,PEN220-GR1,Castilla y León,35,2026-03-16,NO
GENT-49094-26,2026-02-02,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,QUEREÑO 220,QRN220-GR1,Galicia,37,2026-03-16,NO
GENT-48573-26,2026-01-19,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,QUEREÑO 220,QRN220-GR2,Galicia,37,2026-03-16,NO
GENT-49091-26,2026-01-30,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,RUBIO 220,RBO220-TRP1,Cataluña,30,2026-03-16,NO
GENT-49112-26,2026-01-30,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,RUBIO 220,RBO220-TRP1,Cataluña,50,2026-03-16,NO
GENT-48639-26,2026-01-16,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,S.AGUSTIN 220,SAG220-GR2,Galicia,50,2026-03-16,NO
DEA-48947-26,2026-01-28,Solicitud de consumo solicitando permiso en posición con motivación dedicada a la conexión de consumo.,SAGUNTUM 220,SGTM220-CON4,Comunidad Valenciana,105,2026-03-16,NO
DEA-48535-26,2026-01-13,Solicitud de consumo solicitando permiso en posición con motivación dedicada a la conexión de consumo.,SANGÜESA 220,SGU220-CON,Comunidad Foral de Navarra,50,2026-03-16,NO
DEA-48811-26,2026-02-10,Solicitud de consumo solicitando permiso en posición con motivación dedicada a la conexión de consumo.,SANGÜESA 220,SGU220-TRP3,Comunidad Foral de Navarra,9.57,2026-03-16,NO
