Nombre y tensión del nudo;Nº PSS;Código Subestación;Sistema Eléctrico;Comunidad Autónoma;POSICIONES DE GEN/ALM;;;;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;;;;;;;CRITERIO ESTÁTICO GENERACIÓN;;;;;;;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;;;;;;;CRITERIO DINÁMICO;;;;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO DE TRAMITACIÓN;;;;;;;MARGEN DE CAPACIDAD DE ACCESO TOTAL;;;;CRITERIOS LIMITANTES;;;;CAPACIDAD DE ACCESO NO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;;;;;;;;;;;;;;;;;NTJ;;;;Capacidad reservada para concurso por resolución SEE/posible concurso/NTJ/autoconsumo RDL 6 2022;;;;Motivo de reserva de capacidad de acceso en el nudo;Normativa específica reguladora de la concesión de la capacidad de acceso
;;;;;A red de transporte;;A red de distribución;;Posibilidad de conexión a la RdT;Posibilidad de conexión a la RdD;Posibilidad de conexión;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen nodal;Margen Binudo;Margen Binudo';Margen no ocupado;Margen no ocupado';Criterio limitante;¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal';Limitación interna por configuración del nudo;Margen no ocupado;Margen no ocupado';Ámbito limitante  (D_Nudo/D_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso otorgada MGE;Capacidad de acceso otorgada MGES;Capacidad de acceso otorgada MPE con afección WSCR;Capacidad de acceso otorgada MPE sin afección WSCR;Capacidad de acceso otorgada MPE;Capacidad de acceso otorgada GEN;Capacidad de acceso otorgada ALM;Capacidad de acceso solicitada en curso y pendiente resolver MGE;Capacidad de acceso solicitada en curso y pendiente resolver MGES;Capacidad de acceso solicitada en curso y pendiente resolver MPE con afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE sin afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE;Capacidad de acceso solicitada en curso y pendiente resolver GEN;Capacidad de acceso solicitada en curso y pendiente resolver ALM;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Motivo capacidad no disponible;Generación;;;;Almacenamiento;;;;Capacidad de acceso otorgada MGE (Situación M);Capacidad de acceso otorgada MGE (Situación M-1);Diferencia;Capacidad de acceso otorgada MGE durante M;Capacidad liberada MGE durante M;MW solicitados en nudo en 4 años anteriores [MWins];Condición b) 1.º);MW solicitados en 4 años anteriores  en nudos conectados al nudo [MWinst];Condición b) 2.º);NUDOS que cumplen condiciones para convocatoria de concurso;Fecha límite de reserva por posible resolución concurso;Resolución de concurso;Fecha de resolución;NTJ;Concurso celebrado y capacidad asignada;Capacidad de acceso NTJ para MGES RDL 11/2022;Capacidad de acceso NTJ para MPE RDL 11/2022;Generación;;Almacenamiento;;;
ALARCOS 220;24003;50010;SEPE;Castilla-La Mancha;;✓;✓;;SI;SI;SI;207; N/A ;  ;206;N/A;N/A;206;206;WSCR_Nudo;N/A;485;N/A;212;N/A;N/A;212;212;Est_Gen_Nudo;N/A;587;N/A;308;N/A;N/A;308;308;Est_Alm_Nudo;N/A;1.270; N/A ;991;N/A;N/A;N/A;991;991;D_Nudo;N/A;279;9;2;268;269;274;5;62;0;0;62;62;62;0;212;206;308;206;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;212;206;308;206;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;279;279;0;0;0;133; NO ;0; NO ; NO ;;SI;29/06/2021;;;;;212;206;308;206;Concurso;
ALBAL 220;24004;50011;SEPE;Comunidad Valenciana;;;✓;;NO;SI;SI;647; N/A ;  ;647;N/A;N/A;647;647;WSCR_Nudo;N/A;249;N/A;246;N/A;N/A;246;246;Est_Gen_Nudo;N/A;311;N/A;308;N/A;N/A;308;308;Est_Alm_Nudo;N/A;796; N/A ;793;N/A;N/A;N/A;793;793;D_Nudo;N/A;3;3;0;0;0;3;0;17;0;0;17;17;8;9;246;246;308;308;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;246;246;308;308;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;3;3;0;0;0;47; NO ;74; NO ; NO ;;SI;29/06/2021;;;;;246;246;308;308;Concurso;
ALBARELLOS 220;21005;50012;SEPE;Galicia;✓;;✓;;SI;SI;SI;214; N/A ;  ;1;N/A;N/A;1;1;WSCR_Nudo;N/A;285;E1_SEPE;-11;640;313;0;0;Est_Gen_Nudo;SI;285;E1_SEPE;-11;820;493;0;0;Est_Alm_Nudo;SI;853; D35_SEPE ;557;327;0;N/A;327;0;D_Zona;SI;296;82;213;0;213;296;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;296;296;0;0;0;0; NO ;2.041; SI ; NO ;;;;;;;;;;;;;
ALBATARREC 220;23013;50013;SEPE;Cataluña;;✓;✓;;SI;SI;SI;624; N/A ;  ;324;N/A;N/A;324;324;WSCR_Nudo;N/A;105;E204_SEPE;-207;-193;-193;0;0;Est_Gen_Nudo/Est_Gen_Zona;NO;131;E204_SEPE;-181;-130;-130;0;0;Est_Alm_Nudo/Est_Alm_Zona;NO;820; N/A ;508;N/A;N/A;N/A;508;508;D_Nudo;N/A;312;0;300;12;312;312;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Nudo/Est_Gen_Zona;Est_Gen_Nudo/Est_Gen_Zona;Est_Alm_Nudo/Est_Alm_Zona;Est_Alm_Nudo/Est_Alm_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;312;312;0;0;0;0; NO ;0; NO ; NO ;;SI;29/06/2021;;;;;0;0;0;0;Concurso;
ALCIRA 220;24005;50014;SEPE;Comunidad Valenciana;;;✓;;NO;SI;SI;122; N/A ;  ;114;N/A;N/A;114;114;WSCR_Nudo;N/A;1.112;E240_SEPE;1025;1020;1020;1.020;1.020;Est_Gen_Zona;SI;1.250;E240_SEPE;1164;1278;1278;1.164;1.164;Est_Alm_Nudo;SI;322; D39_SEPE ;236;226;226;N/A;226;226;D_Zona;SI;87;29;7;51;58;87;0;83;0;0;83;83;38;45;226;114;226;114;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;226;114;226;114;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;87;87;0;0;0;149; NO ;0; NO ; NO ;;SI;19/06/2024;;;;;226;114;226;114;Concurso;
ALCOBENDAS 220;24016;50015;SEPE;Comunidad de Madrid;;;✓;;NO;SI;SI;394; N/A ;  ;394;N/A;N/A;394;394;WSCR_Nudo;N/A;802;N/A;802;N/A;N/A;802;802;Est_Gen_Nudo;N/A;852;N/A;852;N/A;N/A;852;852;Est_Alm_Nudo;N/A;763; N/A ;763;N/A;N/A;N/A;763;763;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;763;394;763;394;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;763;394;763;394;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;1.515; SI ; NO ;;SI;03/08/2022;;;;;763;394;763;394;Concurso;
ALCOCERO DE MOLA 220;22057;50016;SEPE;Castilla y León;✓;✓;;✓;SI;SI;SI;412; N/A ;  ;1;N/A;N/A;1;1;WSCR_Nudo;N/A;1.027;E178_SEPE;601;211;211;211;211;Est_Gen_Zona;NO;1.203;E178_SEPE;776;658;658;658;658;Est_Alm_Zona;NO;1.183; N/A ;756;N/A;N/A;N/A;756;756;D_Nudo;N/A;426;16;410;0;410;426;0;1.460;0;344;1.116;1.460;941;519;211;1;658;1;Est_Gen_Zona;WSCR_Nudo;Est_Alm_Zona;WSCR_Nudo;0;0;0;0;;211;1;211;1;658;1;658;1;426;426;0;0;0;3.741; SI ;2.666; SI ; NO ;;;;;;;;;;;;;
ALCORES 220;25005;50017;SEPE;Andalucía;;;✓;;NO;SI;SI;418; N/A ;  ;70;N/A;N/A;70;70;WSCR_Nudo;N/A;935;E298_SEPE, E42_SEPE;246;-514;-514;0;0;Est_Gen_Zona;SI;1.042;E298_SEPE, E42_SEPE;348;-480;-480;0;0;Est_Alm_Zona;SI;2.722; N/A ;2027;N/A;N/A;1.022;2.027;2.027;D_Nudo;N/A;695;17;348;330;678;690;5;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;695;695;0;0;0;170; NO ;540; SI ; NO ;;;;;;;;;;;;;
ALCUDIA BALEARES 66;39710;50018;SEB;Islas Baleares;;;✓;;NO;SI;SI;57; N/A ; Riesgo interacciones ;7;N/A;N/A;7;7;WSCR_Nudo;N/A;157;N/A;115;N/A;N/A;115;115;Est_Gen_Nudo;N/A;165;N/A;115;N/A;N/A;115;115;Est_Alm_Nudo;N/A;220; N/A ;170;N/A;N/A;N/A;170;170;D_Nudo;N/A;50;0;50;0;50;0;50;0;0;0;0;0;0;0;115;7;115;7;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;115;7;0;0;115;7;50;50;0;0;0;170; SI ;800; NO ; NO ;;;;;;;;;;;;;
ALDAIA 220;24007;50019;SEPE;Comunidad Valenciana;;✓;✓;;SI;SI;SI;584; N/A ;  ;569;N/A;N/A;569;569;WSCR_Nudo;N/A;365;E185_SEPE;350;328;328;328;328;Est_Gen_Zona;SI;438;E185_SEPE;418;377;377;377;377;Est_Alm_Zona;SI;869; N/A ;849;N/A;N/A;N/A;849;849;D_Nudo;N/A;20;2;15;4;18;15;5;10;0;0;10;10;0;10;328;328;377;377;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;328;328;377;377;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;20;20;0;0;0;20; NO ;105; NO ; NO ;;SI;29/06/2021;;;;;328;328;377;377;Concurso;
ALDEA BLANCA 66;39005;50020;SEC;Canarias;✓;;✓;;SI;SI;SI;94; N/A ;  ;13;N/A;N/A;13;13;WSCR_Nudo;N/A;135;E08_SEC;44;-31;-31;0;0;Est_Gen_Zona;NO;146;E08_SEC;56;-20;-20;0;0;Est_Alm_Zona;NO;10; N/A ;-80;N/A;N/A;N/A;0;0;D_Nudo;N/A;92;1;80;10;91;92;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona/D_Nudo;Est_Gen_Zona/D_Nudo;Est_Alm_Zona/D_Nudo;Est_Alm_Zona/D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;92;92;0;0;0;31; NO ;18; NO ; NO ;;;;;;;;;;;;;
ALDEADAVILA 400;12010;50021;SEPE;Castilla y León;✓;;;;SI;NO;SI;1.209; N/A ;  ;1.209;N/A;N/A;1.209;1.209;WSCR_Nudo;N/A;1.481;E77_SEPE;1481;748;748;748;748;Est_Gen_Zona;NO;2.255;E77_SEPE;1827;1094;1094;1.094;1.094;Est_Alm_Zona;NO;0; N/A ;-428;N/A;N/A;N/A;0;0;D_Nudo;N/A;428;428;0;0;0;0;428;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;428;428;0;0;0;0; NO ;4.228; SI ; NO ;;;;;;;;;;;;;
ALDEADAVILA 220;22010;50021;SEPE;Castilla y León;✓;;;;SI;NO;SI;860; N/A ;  ;860;N/A;N/A;860;860;WSCR_Nudo;N/A;1.481;E77_SEPE;748;748;748;748;748;Est_Gen_Nudo/Est_Gen_Zona;NO;2.162;E77_SEPE;1429;1094;1094;1.094;1.094;Est_Alm_Zona;NO;231; N/A ;-502;N/A;N/A;N/A;0;0;D_Nudo;N/A;733;733;0;0;0;733;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;733;733;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
ALGECIRAS 220;25010;50022;SEPE;Andalucía;✓;;✓;;SI;SI;SI;0; N/A ;  ;0;N/A;N/A;0;0;WSCR_Nudo;N/A;1.417;E350_SEPE;442;442;442;442;442;Est_Gen_Nudo/Est_Gen_Zona;NO;1.492;E350_SEPE;517;517;517;517;517;Est_Alm_Nudo;NO;1.185; D91_SEPE ;210;210;210;N/A;210;210;D_Nudo;NO;975;975;0;0;0;975;0;20;0;20;0;20;20;0;210;0;210;0;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;210;0;210;0;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;975;975;0;0;0;0; NO ;284; NO ; NO ;;SI;03/08/2022;;;;;210;0;210;0;Concurso;
ALGECIRAS 132;5145;50022;SEPE;Andalucía;;;;;NO;NO;NO;44; N/A ;  ;44;N/A;N/A;44;44;WSCR_Nudo;N/A;271;E349_SEPE, E350_SEPE;271;271;232;271;232;Est_Gen_Nudo/Est_Gen_Zona;SI;271;E349_SEPE, E350_SEPE;271;271;271;271;271;Est_Alm_Nudo/Est_Alm_Zona;SI;271; D91_SEPE ;271;210;0;271;210;0;D_Zona;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;44;210;44;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;210;44;210;44;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
ALGETE 220;24006;50023;SEPE;Comunidad de Madrid;;✓;✓;;SI;SI;SI;429; N/A ;  ;429;N/A;N/A;429;429;WSCR_Nudo;N/A;747;N/A;747;N/A;N/A;747;747;Est_Gen_Nudo;N/A;810;N/A;810;N/A;N/A;810;810;Est_Alm_Nudo;N/A;903; N/A ;903;N/A;N/A;N/A;903;903;D_Nudo;N/A;0;0;0;0;0;0;0;90;0;50;40;90;90;0;747;429;810;429;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;747;429;810;429;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;0;0;0;0;0;40; NO ;1.515; SI ; NO ;;SI;29/06/2021;;;;;747;429;810;429;Concurso;
ALHAURIN 220;25015;50024;SEPE;Andalucía;;✓;✓;;SI;SI;SI;475; N/A ;  ;448;N/A;N/A;448;448;WSCR_Nudo;N/A;576;N/A;127;N/A;N/A;127;127;Est_Gen_Nudo;N/A;624;N/A;127;N/A;N/A;127;127;Est_Alm_Nudo;N/A;1.216; N/A ;719;N/A;N/A;N/A;719;719;D_Nudo;N/A;497;58;27;413;439;164;333;15;0;0;15;15;15;0;127;127;127;127;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;127;127;127;127;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;497;502;-5;0;5;204; NO ;30; NO ; NO ;;SI;29/06/2021;;;;;127;127;127;127;Concurso;
ALI 220;22015;50025;SEPE;País Vasco;;;✓;✓;NO;SI;SI;261; N/A ;  ;261;N/A;N/A;261;261;WSCR_Nudo;N/A;952;E335_SEPE;952;899;899;899;899;Est_Gen_Zona;SI;952;E335_SEPE;952;1046;1046;952;952;Est_Alm_Nudo;SI;946; N/A ;946;N/A;N/A;N/A;946;946;D_Nudo;N/A;0;0;0;0;0;0;0;88;0;0;88;88;88;0;899;261;946;261;Est_Gen_Zona;WSCR_Nudo;D_Nudo;WSCR_Nudo;899;261;946;261;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;165; NO ;90; NO ; NO ;;SI;03/08/2022;;;;;899;261;946;261;Concurso;
ALJARAFE 220;25128;50026;SEPE;Andalucía;;;✓;;NO;SI;SI;574; N/A ;  ;487;N/A;N/A;487;487;WSCR_Nudo;N/A;692;N/A;469;N/A;N/A;469;469;Est_Gen_Nudo;N/A;749;N/A;526;N/A;N/A;526;526;Est_Alm_Nudo;N/A;2.029; N/A ;1807;N/A;N/A;1.015;1.807;1.807;D_Nudo;N/A;223;0;87;136;223;223;0;0;0;0;0;0;0;0;469;469;526;487;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;WSCR_Nudo;469;469;526;487;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;223;223;0;0;0;361; SI ;223; NO ; NO ;;SI;19/06/2024;;;;;469;469;526;487;Concurso;
ALMADEN 400;14036;51411;SEPE;Castilla-La Mancha;;;;;NO;NO;NO;533; N/A ;  ;533;N/A;N/A;533;533;WSCR_Nudo;N/A;763;N/A;763;N/A;N/A;763;763;Est_Gen_Nudo;N/A;1.014;N/A;1014;N/A;N/A;1.014;1.014;Est_Alm_Nudo;N/A;2.965; N/A ;2965;N/A;N/A;1.265;2.965;2.965;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;763;533;1.014;533;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;763;533;1.014;533;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;692; SI ; NO ;;;;;;;;;;;;;
ALMARAZ CN 400;14000;50027;SEPE;Extremadura;✓;✓;;;SI;NO;SI;2.036; N/A ;  ;1.154;N/A;N/A;1.154;1.154;WSCR_Nudo;N/A;3.146;E112_SEPE;308;308;308;308;308;Est_Gen_Nudo/Est_Gen_Zona;NO;3.784;E112_SEPE;946;946;946;946;946;Est_Alm_Nudo/Est_Alm_Zona;NO;0; N/A ;-2838;N/A;N/A;0;0;0;D_Nudo;N/A;2.838;1.956;882;0;882;2.838;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;2.838;2.838;0;0;0;0; NO ;2.543; SI ; NO ;;;;;;;;;;;;;
ALMARAZ CN 220;24010;50027;SEPE;Extremadura;;;;;NO;NO;NO;507; N/A ;  ;507;N/A;N/A;507;507;WSCR_Nudo;N/A;1.232;E112_SEPE;1232;308;308;308;308;Est_Gen_Zona;NO;1.394;E112_SEPE;1394;946;946;946;946;Est_Alm_Zona;NO;2.720; N/A ;2720;N/A;N/A;1.020;2.720;2.720;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;308;308;946;507;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;WSCR_Nudo;308;308;946;507;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
ALMARAZ E.T. 220;24060;50028;SEPE;Extremadura;✓;✓;✓;;SI;SI;SI;798; N/A ;  ;218;N/A;N/A;218;218;WSCR_Nudo;N/A;1.549;E16_SEPE;789;240;240;240;240;Est_Gen_Zona;NO;1.564;E16_SEPE;804;240;240;240;240;Est_Alm_Zona;NO;1.060; D30_SEPE ;300;-264;-264;N/A;0;0;D_Zona;NO;760;164;580;16;596;760;0;0;0;0;0;0;0;0;0;0;0;0;D_Zona;D_Zona;D_Zona;D_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;760;761;-1;0;1;0; NO ;28; NO ; NO ;;;;;;;;;;;;;
ALMAZAN 400;12015;50029;SEPE;Castilla y León;✓;;✓;;SI;SI;SI;446; N/A ;  ;98;N/A;N/A;98;98;WSCR_Nudo;N/A;1.679;E260_SEPE;1140;1174;1174;1.140;1.140;Est_Gen_Nudo;NO;1.914;E260_SEPE;1375;1424;1424;1.375;1.375;Est_Alm_Nudo;NO;1.291; N/A ;752;N/A;N/A;1.291;752;752;D_Nudo;N/A;539;69;348;123;471;539;0;0;0;0;0;0;0;0;752;98;752;98;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;752;98;752;98;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;539;539;0;0;0;50; NO ;0; NO ; NO ;;SI;29/06/2021;;;;;752;98;752;98;Concurso;
ALMENDRALES 400;13049;51416;SEPE;Aragón;✓;✓;;;SI;NO;SI;692; N/A ;  ;478;N/A;N/A;478;478;WSCR_Nudo;N/A;2.121;N/A;1906;N/A;N/A;1.906;1.906;Est_Gen_Nudo;N/A;2.301;N/A;2086;N/A;N/A;2.086;2.086;Est_Alm_Nudo;N/A;1.583; N/A ;1368;N/A;N/A;528;1.368;1.368;D_Nudo;N/A;215;0;215;0;215;215;0;0;0;0;0;0;0;0;1.368;478;1.368;478;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;1.368;478;1.368;478;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;215;215;0;0;0;0; NO ;0; NO ; NO ;;SI;29/06/2021;;;;;1368;478;1368;478;Concurso;
ALMODOVAR DEL RIO 220;25017;50030;SEPE;Andalucía;;✓;;;SI;NO;SI;396; N/A ;  ;167;N/A;N/A;167;167;WSCR_Nudo;N/A;369;E285_SEPE;151;-161;-161;0;0;Est_Gen_Zona;NO;580;E285_SEPE;316;11;11;11;11;Est_Alm_Zona;NO;1.240; N/A ;977;N/A;N/A;N/A;977;977;D_Nudo;N/A;263;34;229;0;229;218;45;324;0;324;0;324;0;324;0;0;11;11;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;0;0;0;0;11;11;0;0;263;263;0;0;0;1.534; SI ;135; NO ; NO ;;;;;;;;;;;;;
ALONSOTEGUI 220;22020;50031;SEPE;País Vasco;;;✓;;NO;SI;SI;516; N/A ;  ;516;N/A;N/A;516;516;WSCR_Nudo;N/A;331;E9_SEPE;217;2787;2787;217;217;Est_Gen_Nudo;SI;344;E9_SEPE;230;3131;3131;230;230;Est_Alm_Nudo;SI;947; D48_SEPE ;833;833;833;N/A;833;833;D_Nudo/D_Zona;SI;114;114;0;0;0;114;0;0;0;0;0;0;0;0;217;217;230;230;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;217;217;230;230;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;114;114;0;0;0;0; NO ;0; NO ; NO ;;SI;03/08/2022;;;;;217;217;230;230;Concurso;
ALVARADO 220;25018;50032;SEPE;Extremadura;✓;;✓;;SI;SI;SI;340; N/A ;  ;156;N/A;N/A;156;156;WSCR_Nudo;N/A;825;E348_SEPE;476;-17;-17;0;0;Est_Gen_Zona;NO;889;E348_SEPE;518;4;4;4;4;Est_Alm_Zona;NO;1.223; N/A ;851;N/A;N/A;N/A;851;851;D_Nudo;N/A;371;100;184;87;271;349;22;0;0;0;0;0;0;0;0;0;4;4;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;0;0;0;0;4;4;4;4;371;371;1;0;0;188; NO ;102; NO ; NO ;;;;;;;;;;;;;
AMOEIRO 220;21011;50033;SEPE;Galicia;;;;;NO;NO;NO;341; N/A ;  ;341;N/A;N/A;341;341;WSCR_Nudo;N/A;202;E173_SEPE;202;220;220;202;202;Est_Gen_Nudo;NO;257;E173_SEPE;257;455;455;257;257;Est_Alm_Nudo;NO;1.272; N/A ;1272;N/A;N/A;N/A;1.272;1.272;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;202;257;257;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;202;202;257;257;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;2.121; SI ; NO ;;;;;;;;;;;;;
AMOREBIETA 400;12016;50034;SEPE;País Vasco;✓;;;;SI;NO;SI;835; N/A ; Riesgo interacciones ;835;N/A;N/A;835;835;WSCR_Nudo;N/A;2.171;N/A;1385;N/A;N/A;1.385;1.385;Est_Gen_Nudo;N/A;2.275;N/A;1488;N/A;N/A;1.488;1.488;Est_Alm_Nudo;N/A;2.596; N/A ;1809;N/A;N/A;896;1.809;1.809;D_Nudo;N/A;786;786;0;0;0;786;0;0;0;0;0;0;0;0;1.385;835;1.488;835;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;1.385;835;1.488;835;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;786;786;0;0;0;0; NO ;0; NO ; NO ;;SI;20/08/2021;;;;;1385;835;1488;835;Concurso;
ANCHUELO 400;14001;50035;SEPE;Comunidad de Madrid;;✓;;;SI;NO;SI;586; N/A ;  ;174;N/A;N/A;174;174;WSCR_Nudo;N/A;1.364;E121_SEPE;952;836;836;836;836;Est_Gen_Zona;SI;1.572;E121_SEPE;1160;1044;1044;1.044;1.044;Est_Alm_Zona;SI;731; D61_SEPE ;319;-24;-24;731;0;0;D_Zona;SI;413;0;413;0;413;413;0;0;0;0;0;0;0;0;0;0;0;0;D_Zona;D_Zona;D_Zona;D_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;413;413;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
ANCHUELO 220;24077;50035;SEPE;Comunidad de Madrid;;✓;;;SI;NO;SI;137; N/A ;  ;21;N/A;N/A;21;21;WSCR_Nudo;N/A;638;E121_SEPE, E275_SEPE;522;295;295;295;295;Est_Gen_Zona;SI;643;E121_SEPE, E275_SEPE;528;301;301;301;301;Est_Alm_Zona;SI;731; D61_SEPE ;616;-24;-24;N/A;0;0;D_Zona;SI;116;0;116;0;116;116;0;52;0;52;0;52;52;0;0;0;0;0;D_Zona;D_Zona;D_Zona;D_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;116;116;0;0;0;0; NO ;0; NO ; NO ;;SI;29/06/2021;;;;;0;0;0;0;Concurso;
ANDRATX 66;39730;50036;SEB;Islas Baleares;;;✓;;NO;SI;SI;108; N/A ; Riesgo interacciones ;35;N/A;N/A;35;35;WSCR_Nudo;N/A;91;N/A;33;N/A;N/A;33;33;Est_Gen_Nudo;N/A;106;N/A;33;N/A;N/A;33;33;Est_Alm_Nudo;N/A;220; N/A ;146;N/A;N/A;N/A;146;146;D_Nudo;N/A;74;0;74;0;74;0;74;0;0;0;0;0;0;0;33;33;33;33;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;;0;0;33;33;0;0;33;33;74;74;0;0;0;79; NO ;0; NO ; NO ;;;;;;;;;;;;;
