Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	1999M01	201.134
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2026M01	62.717
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M12	64.824
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M11	66.309
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M10	102.147
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M09	135.053
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M08	141.932
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M07	131.038
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M06	120.537
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M05	129.486
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M04	94.510
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M03	83.826
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M02	66.662
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M01	61.636
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2024M12	66.777
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2024M11	87.886
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2024M10	124.739
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2024M09	136.333
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2024M08	152.160
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2024M07	132.232
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2024M06	116.756
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2024M05	124.766
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2024M04	100.754
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2024M03	82.523
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2024M02	82.755
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2024M01	61.581
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2023M12	64.146
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2023M11	74.596
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2023M10	104.840
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2023M09	116.394
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2023M08	145.191
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2023M07	133.272
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2023M06	108.979
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2023M05	116.450
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2023M04	88.824
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2023M03	75.187
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2023M02	70.817
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2023M01	52.713
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2022M12	55.538
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2022M11	61.865
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2022M10	99.231
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2022M09	131.505
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2022M08	151.845
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2022M07	132.289
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2022M06	104.053
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2022M05	99.794
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2022M04	88.519
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2022M03	68.477
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2022M02	59.818
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2022M01	37.246
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2021M12	44.405
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2021M11	55.800
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2021M10	76.145
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2021M09	86.757
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2021M08	86.242
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2021M07	82.613
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2021M06	37.345
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2021M05	29.380
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2021M04	17.292
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2021M03	17.620
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2021M02	12.640
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2021M01	11.769
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2020M12	12.124
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2020M11	17.823
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2020M10	36.164
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2020M09	35.090
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2020M08	48.798
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2020M07	48.677
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2020M06	10.462
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2020M05	4.798
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2020M04	0
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2020M03	35.949
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2020M02	79.028
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2020M01	63.185
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2019M12	61.063
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2019M11	69.021
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2019M10	113.234
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2019M09	138.647
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2019M08	146.241
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2019M07	130.210
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2019M06	118.705
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2019M05	117.042
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2019M04	88.160
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2019M03	85.961
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2019M02	77.935
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2019M01	54.228
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2018M12	56.004
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2018M11	68.200
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2018M10	97.623
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2018M09	132.034
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2018M08	152.047
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2018M07	138.128
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2018M06	116.674
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2018M05	111.881
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2018M04	89.990
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2018M03	76.305
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2018M02	73.006
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2018M01	54.691
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2017M12	46.155
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2017M11	55.456
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2017M10	94.831
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2017M09	121.135
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2017M08	146.287
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2017M07	132.534
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2017M06	103.831
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2017M05	103.514
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2017M04	86.216
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2017M03	76.279
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2017M02	66.235
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2017M01	44.173
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2016M12	43.746
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2016M11	49.684
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2016M10	82.372
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2016M09	112.319
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2016M08	137.420
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2016M07	130.600
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2016M06	104.478
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2016M05	110.662
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2016M04	67.505
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2016M03	66.907
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2016M02	65.714
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2016M01	42.477
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2015M12	36.662
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2015M11	41.777
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2015M10	85.236
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2015M09	102.538
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2015M08	121.320
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2015M07	102.069
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2015M06	86.886
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2015M05	81.918
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2015M04	62.485
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2015M03	57.104
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2015M02	52.048
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2015M01	32.842
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2014M12	33.371
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2014M11	37.809
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2014M10	63.983
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2014M09	91.519
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2014M08	117.656
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2014M07	101.896
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2014M06	82.144
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2014M05	78.587
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2014M04	54.716
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2014M03	53.440
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2014M02	44.992
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2014M01	36.595
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2013M12	27.855
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2013M11	34.694
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2013M10	59.807
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2013M09	82.345
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2013M08	101.862
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2013M07	95.432
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2013M06	73.091
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2013M05	61.617
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2013M04	42.936
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2013M03	58.345
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2013M02	31.557
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2013M01	32.005
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2012M12	24.432
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2012M11	48.396
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2012M10	67.981
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2012M09	75.584
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2012M08	84.720
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2012M07	90.319
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2012M06	63.207
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2012M05	55.430
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2012M04	41.794
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2012M03	39.802
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2012M02	39.547
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2012M01	28.310
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2011M12	24.920
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2011M11	29.675
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2011M10	56.949
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2011M09	76.374
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2011M08	101.719
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2011M07	95.120
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2011M06	71.446
